popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
1.82313,118.0,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712
1.758618,100.0,2015-02-20,753,6.8,2015,7819996.55920151,40046325.65961671
1.742286,97.0,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685
1.73518,94.0,2015-04-16,422,5.3,2015,27599987.856005296,98989419.0846556
1.6510779999999898,91.0,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848
1.532997,104.0,2015-06-03,364,6.2,2015,27599987.856005296,45322311.73818279
1.5100959999999999,101.0,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227
1.499614,93.0,2015-10-23,288,6.2,2015,13799993.9280026,13671898.704364501
1.495112,94.0,2015-09-10,729,5.9,2015,4599997.97600089,90574017.18743241
1.4832459999999899,122.0,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233
1.449072,93.0,2015-11-13,233,5.4,2015,8187996.39728158,46125.099704956105
1.448002,98.0,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943
1.443406,113.0,2015-03-31,322,5.7,2015,18399991.9040035,191900.87556361398
1.41239,103.0,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503
1.40805,103.0,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542
1.3882510000000001,96.0,2015-08-19,695,5.9,2015,25759988.665604897,25951426.781372197
1.388032,120.0,2015-04-10,277,7.3,2015,10119995.5472019,56690166.216326796
1.3766049999999999,118.0,2015-12-18,399,5.9,2015,27599987.856005296,96610126.25154442
1.360926,106.0,2015-01-30,637,6.3,2015,11039995.1424021,29668368.665917702
1.3558219999999999,96.0,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225
1.345982,119.0,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213
1.338481,115.0,2015-07-01,501,6.3,2015,13615994.0089626,112619962.88721599
1.338322,88.0,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148
1.316239,124.0,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589
1.315266,111.0,2015-10-14,202,6.2,2015,17939992.1064034,29614535.809604198
1.291013,93.0,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791
1.278928,111.0,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063
1.225325,115.0,2015-02-16,283,5.6,2015,36799983.808007106,9811564.7629115
1.191138,82.0,2015-04-17,643,5.6,2015,919999.595200178,57851497.3453411
1.178831,87.0,2015-05-08,472,5.5,2015,32199985.8320062,47545763.999863796
